,game_id,game_date,home_team_id,away_team_id
0,718641,2023-04-10,23,1
291,718640,2023-04-10,28,17
583,718638,2023-04-10,27,3
829,718637,2023-04-10,18,15
1104,718636,2023-04-10,7,2
1428,718635,2023-04-10,29,12
1729,718634,2023-04-10,26,20
2020,718633,2023-04-10,6,5
2300,718632,2023-04-10,9,11
2610,718631,2023-04-10,24,16
2912,718630,2023-04-10,19,0
3226,718629,2023-04-10,4,14
3475,718628,2023-04-10,13,21
3763,718627,2023-04-10,10,22
4033,718655,2023-04-09,27,12
4326,718654,2023-04-09,8,3
4604,718653,2023-04-09,9,17
4852,718652,2023-04-09,6,2
5175,718651,2023-04-09,29,15
5454,718650,2023-04-09,22,14
5768,718649,2023-04-09,28,11
6059,718648,2023-04-09,7,20
6388,718647,2023-04-09,26,5
6686,718646,2023-04-09,18,21
7089,718645,2023-04-09,4,16
7386,718644,2023-04-09,24,25
7783,718643,2023-04-09,23,0
8023,718642,2023-04-09,13,19
8307,718639,2023-04-09,10,1
8611,718672,2023-04-08,23,0
8876,718669,2023-04-08,13,19
9209,718668,2023-04-08,6,2
9501,718667,2023-04-08,8,3
9817,718666,2023-04-08,28,11
10098,718665,2023-04-08,27,12
10362,718664,2023-04-08,29,15
10686,718663,2023-04-08,18,21
10982,718662,2023-04-08,9,17
11296,718661,2023-04-08,26,5
11603,718660,2023-04-08,22,14
11906,718659,2023-04-08,7,20
12240,718658,2023-04-08,4,16
12545,718657,2023-04-08,24,25
12844,718656,2023-04-08,10,1
13141,718693,2023-04-07,26,5
13479,718688,2023-04-07,29,15
13797,718685,2023-04-07,6,2
14114,718684,2023-04-07,28,11
14424,718680,2023-04-07,23,0
14699,718679,2023-04-07,9,17
15026,718678,2023-04-07,27,12
15306,718677,2023-04-07,18,21
15613,718676,2023-04-07,7,20
15947,718675,2023-04-07,13,19
16208,718674,2023-04-07,22,14
16524,718673,2023-04-07,4,16
16827,718671,2023-04-07,10,1
17123,718670,2023-04-07,24,25
17398,718690,2023-04-06,8,3
17665,718687,2023-04-06,17,23
18029,718686,2023-04-06,0,25
18319,718683,2023-04-06,10,1
18614,718682,2023-04-06,4,16
18855,718681,2023-04-06,7,20
19228,718704,2023-04-05,16,27
19506,718702,2023-04-05,3,9
19787,718701,2023-04-05,5,28
20039,718699,2023-04-05,15,6
20306,718698,2023-04-05,22,26
20615,718697,2023-04-05,14,7
20903,718696,2023-04-05,11,8
21216,718695,2023-04-05,17,23
21546,718694,2023-04-05,19,29
21820,718692,2023-04-05,0,25
22065,718691,2023-04-05,21,24
22403,718689,2023-04-05,12,18
22748,718717,2023-04-04,20,10
23061,718716,2023-04-04,2,13
23385,718715,2023-04-04,16,27
23686,718714,2023-04-04,5,28
23906,718713,2023-04-04,3,9
24192,718712,2023-04-04,22,26
24464,718711,2023-04-04,14,7
24736,718710,2023-04-04,15,6
25035,718709,2023-04-04,19,29
25319,718708,2023-04-04,0,25
25600,718707,2023-04-04,12,18
25911,718706,2023-04-04,21,24
26203,718705,2023-04-04,11,8
26489,718703,2023-04-04,1,4
26774,718732,2023-04-03,16,27
27049,718731,2023-04-03,22,26
27363,718730,2023-04-03,17,23
27671,718729,2023-04-03,5,28
27966,718728,2023-04-03,2,13
28250,718727,2023-04-03,14,7
28568,718726,2023-04-03,19,29
28817,718725,2023-04-03,15,6
29124,718724,2023-04-03,3,9
29458,718723,2023-04-03,11,8
29802,718722,2023-04-03,20,10
30084,718721,2023-04-03,12,18
30448,718720,2023-04-03,21,24
30776,718719,2023-04-03,0,25
31087,718718,2023-04-03,1,4
31393,718748,2023-04-02,3,29
31710,718747,2023-04-02,15,23
31996,718745,2023-04-02,0,28
32288,718744,2023-04-02,2,9
32548,718743,2023-04-02,16,7
32812,718742,2023-04-02,27,8
33056,718741,2023-04-02,5,26
33349,718740,2023-04-02,11,17
33679,718739,2023-04-02,19,6
33915,718738,2023-04-02,13,22
34232,718737,2023-04-02,14,25
34499,718736,2023-04-02,1,10
34771,718735,2023-04-02,21,18
35089,718734,2023-04-02,12,24
35383,718733,2023-04-02,20,4
35619,718762,2023-04-01,15,23
35960,718761,2023-04-01,3,29
36274,718760,2023-04-01,11,17
36621,718759,2023-04-01,14,25
36909,718758,2023-04-01,13,22
37196,718757,2023-04-01,12,24
37477,718756,2023-04-01,2,9
37760,718755,2023-04-01,5,26
38088,718754,2023-04-01,27,8
38417,718753,2023-04-01,16,7
38694,718752,2023-04-01,19,6
39048,718751,2023-04-01,0,28
39307,718750,2023-04-01,20,4
39582,718749,2023-04-01,1,10
39845,718746,2023-04-01,21,18
40088,718771,2023-03-31,5,26
40329,718766,2023-03-31,20,4
40597,718765,2023-03-31,1,10
40882,718764,2023-03-31,11,17
41167,718763,2023-03-31,21,18
41516,718782,2023-03-30,3,29
41860,718781,2023-03-30,15,23
42136,718780,2023-03-30,16,7
42456,718779,2023-03-30,19,6
42791,718778,2023-03-30,20,4
43111,718777,2023-03-30,13,22
43368,718776,2023-03-30,27,8
43640,718775,2023-03-30,0,28
43923,718774,2023-03-30,5,26
44217,718773,2023-03-30,2,9
44560,718772,2023-03-30,14,25
44944,718770,2023-03-30,1,10
45216,718769,2023-03-30,12,24
45506,718768,2023-03-30,11,17
45792,718767,2023-03-30,21,18
